run_id,model_name,base_model,num_epochs,batch_size,lr,seed,macro_f1,Generic_f1,Material_f1,Method_f1,Metric_f1,OtherScientificTerm_f1,Task_f1,results_file
20260526_175419,bert_linear,bert-base-cased,10,16,2e-05,42,0.6046,0.6726,0.5647,0.6835,0.6125,0.5375,0.5567,bert_linear_20260526_175419.json
20260526_175419,bert_linear_noweight,bert-base-cased,10,16,2e-05,42,0.5754,0.6848,0.5396,0.6792,0.5326,0.4956,0.5209,bert_linear_noweight_20260526_175419.json
20260526_175419,roberta_linear,roberta-base,10,16,2e-05,42,0.5978,0.6744,0.6066,0.6607,0.5839,0.524,0.537,roberta_linear_20260526_175419.json
20260526_175419,roberta_linear_noweight,roberta-base,10,16,2e-05,42,0.5943,0.6415,0.5976,0.6883,0.5882,0.5219,0.5281,roberta_linear_noweight_20260526_175419.json
20260526_175419,scibert_concat4,allenai/scibert_scivocab_cased,10,8,2e-05,42,0.6184,0.722,0.6322,0.7037,0.5644,0.5526,0.5353,scibert_concat4_20260526_175419.json
20260526_175419,scibert_linear,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.6421,0.7226,0.6279,0.736,0.641,0.573,0.5523,scibert_linear_20260526_175419.json
20260526_195230,scibert_linear_crf,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.6652,0.7463,0.6547,0.7541,0.6329,0.5961,0.6073,scibert_linear_crf_20260526_195230.json
20260526_175419,scibert_linear_crf_noweight,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.6499,0.7273,0.6452,0.7376,0.5874,0.5976,0.6046,scibert_linear_crf_noweight_20260526_175419.json
20260526_175419,scibert_linear_noweight,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.6538,0.7273,0.6316,0.7575,0.6301,0.5918,0.5843,scibert_linear_noweight_20260526_175419.json
20260526_175419,scibert_mlp,allenai/scibert_scivocab_cased,10,16,2e-05,42,0.6477,0.7228,0.6319,0.74,0.6667,0.5671,0.5577,scibert_mlp_20260526_175419.json
